No	発売日	タイトル	メーカー	価格
282	1993/3/19	バイオメタル	アテナ	8980
283	1993/3/19	ＵＳＡ ＩＣＥ ＨＯＣＫＥＹ	ジャレコ	9000
284	1993/3/20	ドラゴンボールＺ 超武闘伝	バンダイ	9800
285	1993/3/25	スーパーワギャンランド２	ナムコ	8300
286	1993/3/25	スーパー蒼き狼と白き牝鹿 元朝秘史	光栄	11800
287	1993/3/26	ブルースブラザース	ケムコ	7800
288	1993/3/26	ＤＥＡＤ ＤＡＮＣＥ (デッドダンス）	ジャレコ	9700
289	1993/3/26	ウルトラセブン	バンダイ	8800
290	1993/3/26	ザ・グレイトバトルⅢ	バンプレスト	8700
291	1993/3/26	ザ・心理ゲーム 悪魔のココロジー	ヴィジット	9800
292	1993/3/26	ノイギーア  海と風の鼓動	ウルフ・チーム	9800
293	1993/3/26	デザートストライク 湾岸作戦	EAV	8900
294	1993/3/26	Ｐｏｐ’ｎツインビー	コナミ	8900
295	1993/3/26	パワーモンガー 魔将の謀略	イマジニア	12800
296	1993/3/26	つっぱり大相撲 立身出世編	テクモ	9000
297	1993/3/26	インターナショナル・テニスツアー	マイクロワールド	8900
298	1993/4/2	エアーマネジメントⅡ 航空王をめざせ	光栄	12800
299	1993/4/3	ブレス オブ ファイア  竜の戦士	カプコン	9800
300	1993/4/3	キャプテン翼Ⅳ プロのライバルたち	テクモ	9700
301	1993/4/7	太閤立志伝	光栄	11800
302	1993/4/9	アクションパチ夫	ココナッツジャパンエンターテイメント	9500
303	1993/4/16	デュアルオーブ  聖霊珠伝説	アイマックス	9700
304	1993/4/16	Ｔｈｅ麻雀・闘牌伝	ビデオシステム	8900
305	1993/4/23	怒りの要塞	ジャレコ	8700
306	1993/4/23	スーパーバトルタンク	パック・イン・ビデオ	7800
307	1993/4/23	エルナード	ゲームプラン21	9600
308	1993/4/23	龍騎兵団ダンザルブ	ユタカ	9500
309	1993/4/28	スーパーボンバーマン	ハドソン	7800
310	1993/4/28	スーパーダンクスター	サミー	7900
311	1993/5/14	バーコードバトラー戦記 スーパー戦士出撃せよ！	エポック社	7680
312	1993/5/14	対局囲碁ゴライアス	BPS	14800
313	1993/5/21	ＮＢＡオールスターチャレンジ	アクレイム ジャパン	8800
314	1993/5/22	ファイナルファイト２	カプコン	9000
315	1993/5/28	セプテントリオン	ヒューマン	8500
316	1993/5/28	パチンコ物語 パチスロもあるでよ！！	ケイエスエス	9800
317	1993/6/4	ドラゴンスレイヤー英雄伝説Ⅱ	エポック社	9800
318	1993/6/11	コスモポリスギャリバン	日本物産	8800
319	1993/6/11	スーパーフォーメーションサッカー２	ヒューマン	8500
320	1993/6/11	プロ麻雀 極	アテナ	9600
321	1993/6/18	神聖紀オデッセリア	ビック東海	9500
322	1993/6/18	早指し二段 森田将棋	セタ	14800
323	1993/6/21	スペースバズーカ	任天堂	6500
324	1993/6/21	スーパースコープ６(スーパースコープ付属カセット）	任天堂	9800
325	1993/6/25	トムとジェリー	アルトロン	8900
326	1993/6/25	ドラゴンズ マジック	コナミ	8800
327	1993/6/25	激突弾丸自動車決戦 バトルモービル	システムサコム	8800
328	1993/6/25	マジンガーＺ	バンダイ	8800
329	1993/6/25	ＧＰ－１	アトラス	8800
330	1993/6/25	シルヴァ・サーガⅡ	セタ	9800
331	1993/6/25	エストポリス伝記	タイトー	8900
332	1993/6/25	三国志正史 天舞スピリッツ	ウルフ・チーム	12800
333	1993/6/25	スーパーファミリーテニス	ナムコ	7900
334	1993/7/2	ファーストサムライ  魔狂人伝説	ケムコ	7800
335	1993/7/9	仮面ライダーＳＤ 出撃ライダーマシン	ユタカ	8800
336	1993/7/9	ヨッシーのクッキー	BPS	6600
337	1993/7/9	エイリアン３	アクレイム ジャパン	8800
338	1993/7/9	スーパーハイインパクト	アクレイム ジャパン	8800
339	1993/7/11	ストリートファイターⅡターボ	カプコン	9980
340	1993/7/14	スーパーマリオコレクション	任天堂	9800
341	1993/7/14	ヨッシーのロードハンティング	任天堂	6500
342	1993/7/16	デスブレイド	アイマックス	9700
343	1993/7/16	サンリオワールドスマッシュボール！	キャラクターソフト	6980
344	1993/7/16	摩陀羅２	コナミ	9800
345	1993/7/16	スーパーエアダイバー	アスミック	8900
346	1993/7/16	マジックジョンソンのスーパースラムダンク	ヴァージンゲーム	8900
347	1993/7/16	ワールド・サッカー	ココナッツジャパンエンターテイメント	9500
348	1993/7/16	全日本プロレス	日本コンピュータシステム	9900
349	1993/7/23	スーパーバック・トゥ・ザ・フューチャー２	東芝EMI	9000
350	1993/7/23	スーパー・ジェームスポンドⅡ	ビクターエンタテインメント	8800
351	1993/7/23	バズー！魔法世界	ホット・ビィ	9800
352	1993/7/23	ウイングコマンダー	アスキー	9800
353	1993/7/23	メガロマニア 時空大戦略	イマジニア	12800
354	1993/7/23	第３次スーパーロボット大戦	バンプレスト	9800
